ICAO_CODE,IATA_CODE,NAME
N19,N1,Gulf Stream
NCR,N8,National Airlines
NST,NT,Nishat Airline
NVD,X9,Avion Express
OEA,OX,Orient Thai Airlines
OHY,8Q,Onur Air Tasimacilik
OKA,BK,Okay Airways
OLY,OL,Olympus Airways
OMA,WY,Oman Ar
OML,OML,OMNI AVIATION (Pvt.)Ltd.
OMS,OV,Salam Air
OPC,PES,Chitral Airport
ORB,R2,Orenburg Airlines
ORX,XW,Orbit Express Airlines
PAC,PO,Polar Air Cargo
PAG,PAG,AGHA KHAN FOUNDATION
PAL,PR,Philippine Airlines
PAV,PAV,PAK AVIATION & AVIATORS LAHORE
PBA,9Q,Pb Air
PEC,Q8,Pacific East Asia Cargo
PFC,PFC,PESHAWAR FLYING CLUB
PGA,NI,Portugalia Airlines
PHO,PHO,PHOENIX AVIATION SERVICES
PIA,PK,Pakistan International Airline
PK1,PK1,PRESIDENT AIRCRAFT
PK2,PK2,PRIME MINISTER AIRCRAFT
PLK,Z8,Pulkovo Aviation Enterpr.
PLM,EB,Wamos Air
PRL,J5,Sochi Airlines Aviaprima
PSL,PS,Pak Services Limited
PVG,P6,Privilege Style
PVV,FP,Fly Pro
QFA,QF,Qantas Airways
QQE,QE,Qatar Executive
QSC,AS,African Safari
QTR,QR,Qatar Airways
RBA,BI,Royal Brunei Airlines
RCH,MC,US-MILITARY
RFC,RFC,RAWALPINDI FLYING CLUB
RGI,VM,Regional Airlines
RJA,RJ,Royal Jordanian
RKM,RT,Rak Airways
RME,R3,Armenian Airlines
RMV,WQ,Romavia
RNA,RA,Nepal Airlines
ROJ,ROJ,ROYALJET
ROT,RO,Tarom 
ROY,QN,Royal Aviation Inc
RRR,RR,General Aviation
RSF,ZS,Safair
RYR,FR,Ryanair Ltd
SAA,SA,South African Airways
SAI,NL,Shaheen Air
SAS,SK,Sas Scandinavian Airlines
SCA,SCA,KK AVIATION LIMITED
SCW,6E,Malmoe Aviation
SEP,ER,Serene Air
SEU,2R,Star Airlines
SEY,HM,Air Seychelles Ltd.
SFW,4Q,Safi Airways
SGQ,6S,Saudigulf Airlines
SHA,SHA,SYED SIBGHATULLAH SHAH
SHJ,SH,SHARJAH
SIA,SQ,Singapore Airlines
SIE,SIE,DEWAN AVIATION (PVT) LTD
SIF,PF,AIR SIAL
SLR,Q7,Sobelair
SND,S3,San Air Company
SSV,DM,Anda Air
STA,STA,STAR AVIATION
SVA,SV,Saudi Airline
SVL,8S,Saak Stavropol Airlines
SWF,SW,SWF
SWL,SWL,SKY WINGS (PVT) LIMITED
SWR,LX,Swiss International Airlines
TAP,TP,Air Portugal Tap
TBZ,I3,ATA Airlines
THA,TG,Thai Airline
THD,WE,Thai Smile Airline
THY,TK,Turkish Airlines
TKY,9I,Thai Sky Airlines
TLA,T7,Transaer
TLE,SH,Air Toulouse
TOP,B6,Top Air
TOW,FF,Tower Air
TQQ,3T,Tarco Airline
TSC,TS,Air Transat
TSO,UN,Transaero Airlines
TSW,BH,Tea Switzerland (Basel Ag)
TUA,T5,Turkmenistan Airlines Cgo
TVS,QS,Smartwings
TWE,TQ,Braathens Sverige Ab
TXZ,EX,Thai Express Air
TZK,7J,Tajikair
TZS,N6,TCA Airline
UAE,EK,Emirates Airline
UAL,UA,United Airlines
UBA,UB,Myanmar Airways
UDN,Z6,Dniproavia
UEP,UEP,UNITED ENERGY PAKISTAN LTD C/O
UFC,UFC,Z4 ULTRA LIGHT SPORTS AND RECR
UKR,6U,Air Ukraine
USA,US,Us Airways
UZB,HY,Uzbekistan Airways
VCX,VC,Ocean Airlines
VEN,VEN,Venus Pakistan (Pvt) Limited
VIM,VL,Air Via Bulgarian Airways
VIR,VS,Virgin Atlantic Airways
VIS,VIS,Vision Airline 
VIV,FV,Viva Air
VJT,VT,Vista Jet
VLM,VG,Vlm Vlaamse Luchttranspo.
VPA,9V,Vip-Air
VRG,RG,Varig Airlines
VSP,VP,Vasp
VTR,8K,Air Ostrava
YYY,PK,Pakistan International Airline
YZR,Y8,Yangzi River Cargo
ZZZ,ZZZ,General Aviation
